% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,48.7667,0.47694,3,132.326,0.293784,0.594177,0,15.5
85.3659,2.43902,41.4856,0.286895,3,100.809,0.164119,0.454947,0,0
84.0909,0,34.2229,0.212375,3,87.6182,0.11662,0.362163,0,0
100,0,34.7628,0.0729439,1,141.442,0.0512345,0.295402,0,83.15
100,0,37.1046,0.0983043,3,128.695,0.0681985,0.325612,0,33.95
94.5946,2.7027,43.6678,0.113671,1,107.022,0.0526768,0.2696,0,0
100,0,34.5995,0.23837,4,123.448,0.170521,0.418033,0,29.85
73.3333,0,35.6165,0.0630227,2,86.1077,0.0325949,0.295638,0,0
100,0,38.5637,0.15135,2,125.943,0.115054,0.40821,0,46.25
100,0,39.6883,0.233474,4,105.375,0.156024,0.42125,0,3.2
